TEMPO;CORRENTE
16:35:33.618 ; 2.99
16:35:33.618 ; 3.08
16:35:33.618 ; 2.82
16:35:33.654 ; 2.95
16:35:33.654 ; 2.82
16:35:33.654 ; 3.06
16:35:33.654 ; 2.96
16:35:33.691 ; 3.15
16:35:33.691 ; 3.06
16:35:33.691 ; 3.04
16:35:33.691 ; 3.15
16:35:33.725 ; 2.88
16:35:33.725 ; 3.00
16:35:33.725 ; 2.81
16:35:33.725 ; 3.00
16:35:33.756 ; 2.86
16:35:33.756 ; 3.16
16:35:33.756 ; 3.03
16:35:33.756 ; 3.08
16:35:33.792 ; 3.11
16:35:33.792 ; 2.96
16:35:33.792 ; 3.05
16:35:33.829 ; 2.82
16:35:33.829 ; 2.96
16:35:33.829 ; 2.84
16:35:33.829 ; 3.11
16:35:33.864 ; 2.99
16:35:33.864 ; 3.11
16:35:33.864 ; 3.08
16:35:33.864 ; 3.00
16:35:33.902 ; 3.12
16:35:33.902 ; 2.85
16:35:33.902 ; 2.96
16:35:33.902 ; 2.81
16:35:33.939 ; 3.01
16:35:33.939 ; 2.91
16:35:33.939 ; 3.15
16:35:33.939 ; 3.04
16:35:33.939 ; 3.04
16:35:33.972 ; 3.03
16:35:33.972 ; 3.12
16:35:33.972 ; 2.92
16:35:33.972 ; 3.02
16:35:34.005 ; 2.80
16:35:34.005 ; 2.97
16:35:34.005 ; 2.85
16:35:34.005 ; 3.14
16:35:34.040 ; 3.02
16:35:34.040 ; 3.09
16:35:34.040 ; 3.10
16:35:34.077 ; 2.99
16:35:34.077 ; 3.08
16:35:34.077 ; 2.83
16:35:34.077 ; 2.94
16:35:34.113 ; 2.82
16:35:34.113 ; 3.06
16:35:34.113 ; 2.96
16:35:34.113 ; 3.14
16:35:34.150 ; 3.05
16:35:34.150 ; 3.03
16:35:34.150 ; 3.14
16:35:34.150 ; 2.88
16:35:34.196 ; 2.99
16:35:34.196 ; 2.80
16:35:34.196 ; 2.99
16:35:34.196 ; 2.87
16:35:34.222 ; 3.17
16:35:34.222 ; 3.03
16:35:34.222 ; 3.07
16:35:34.222 ; 3.11
16:35:34.260 ; 2.95
16:35:34.260 ; 3.06
16:35:34.260 ; 2.81
16:35:34.260 ; 2.95
16:35:34.297 ; 2.83
16:35:34.297 ; 3.10
16:35:34.297 ; 3.00
16:35:34.297 ; 3.11
16:35:34.332 ; 3.08
16:35:34.332 ; 3.00
16:35:34.332 ; 3.13
16:35:34.332 ; 2.84
16:35:34.365 ; 2.96
16:35:34.365 ; 2.81
16:35:34.365 ; 3.03
16:35:34.365 ; 2.91
16:35:34.398 ; 3.16
16:35:34.398 ; 3.03
16:35:34.398 ; 3.04
16:35:34.435 ; 3.14
16:35:34.435 ; 2.91
16:35:34.435 ; 3.02
16:35:34.435 ; 2.81
16:35:34.471 ; 2.98
16:35:34.471 ; 2.86
16:35:34.471 ; 3.14
16:35:34.471 ; 3.02
16:35:34.508 ; 3.11
16:35:34.508 ; 3.10
16:35:34.508 ; 2.99
16:35:34.508 ; 3.10
16:35:34.545 ; 2.81
16:35:34.545 ; 2.95
16:35:34.545 ; 2.83
16:35:34.545 ; 3.06
16:35:34.579 ; 2.96
16:35:34.579 ; 3.13
16:35:34.579 ; 3.06
16:35:34.579 ; 3.03
16:35:34.612 ; 3.13
16:35:34.612 ; 1.38
16:35:34.612 ; 0.31
16:35:34.612 ; 0.21
16:35:34.646 ; 0.22
16:35:34.646 ; 0.21
16:35:34.646 ; 0.20
16:35:34.683 ; 0.17
16:35:34.683 ; 0.17
16:35:34.683 ; 0.16
16:35:34.683 ; 0.19
16:35:34.719 ; 0.14
16:35:34.719 ; 0.16
16:35:34.719 ; 0.16
16:35:34.719 ; 0.16
16:35:34.757 ; 0.14
16:35:34.757 ; 0.15
16:35:34.757 ; 0.14
16:35:34.757 ; 0.15
16:35:34.793 ; 0.15
16:35:34.793 ; 0.13
